Age,Gender,Nationality,Occupation,Monthly_Income,City,HealthDrinkFreq,HealthInfoSource,DietaryRestrictions,RegularBeverages,HealthyLifestyleImportance,HealthDrinkPreferences,DietChallenges,PurchaseLocation,WillingnessToSpend,LikelihoodTryNewBrand,WillingToSwitch,TryDrivers,FlavorPreferences,FunctionalNeeds,DrinkPerceptions,AssociatedBrands,LikelihoodToRecommend,SubscriptionInterest,Comments
45-54,Prefer not to say,Asian Expat,Working Professional,"<5,000",Ajman,Occasionally,Social Media,Diabetic,"Water, Soft Drinks, Juices, Tea/Coffee, Milk",Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Other","Lack of Time, Cost, Taste Preferences, None",Online,<5,Unlikely,Maybe,"Recommendations, Attractive Packaging, Other","Citrus, Tropical, Herbal, Chocolate, Other","Energy, Weight Management, No Specific Issues",Good Value,"BrandC, Brand_Y, BrandD",Neutral,No,
18-24,Male,Western Expat,Student,"<5,000",Abu Dhabi,Occasionally,Health Professionals,"Lactose-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Tea/Coffee, Milk",Not Important,"Taste, Natural Ingredients, Affordable Price, Convenience","Lack of Information, Limited Options, None",Cafes/Restaurants,5-10,Very Unlikely,No,Health Benefits,"Chocolate, Plain","Immunity, Digestion, Energy, Skin/Hair health","Not Tasty, Not Widely Available, Innovative","BrandE, Brand_S",Very Unlikely,No,
35-44,Prefer not to say,Other,Homemaker,"20,001-35,000",Other,Frequently,Magazines/TV,Vegan,Soft Drinks,Not Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Other","Lack of Time, Limited Options, Taste Preferences, None",Cafes/Restaurants,16-25,Neutral,No,"Attractive Packaging, Other","Citrus, Herbal, Chocolate, Plain","Immunity, Weight Management, Skin/Hair health, Stress Relief","Not Tasty, Not Widely Available, Innovative","BrandE, BrandB, BrandD",Likely,Maybe,
55+,Prefer not to say,Emirati,Student,">50,000",Other,Occasionally,Friends/Family,Diabetic,"Water, Soft Drinks, Tea/Coffee, Other",Very Important,"Taste, Natural Ingredients, Affordable Price, Brand Reputation","Lack of Information, Taste Preferences",Cafes/Restaurants,<5,Unlikely,No,Health Benefits,Tropical,"Energy, No Specific Issues","Not Tasty, High Quality","BrandB, Brand_M",Unlikely,Maybe,
55+,Female,Emirati,Homemaker,">50,000",Sharjah,Frequently,Social Media,"Vegetarian, Gluten-Free, Diabetic","Water, Soft Drinks, Juices, Milk",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Other","Lack of Time, Taste Preferences",Supermarkets,11-15,Very Unlikely,No,"Discounts, Attractive Packaging","Berries, Chocolate, Plain","Immunity, Energy, Skin/Hair health","Too Expensive, Good Value, Innovative","BrandE, BrandA, BrandD",Very Unlikely,Maybe,
55+,Female,Western Expat,Homemaker,"35,001-50,000",Sharjah,Rarely,Other,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Tea/Coffee",Extremely Important,"Taste, Low Sugar, Convenience","Lack of Time, Limited Options, None",Convenience Stores,5-10,Very Likely,Yes,"Free Samples, Discounts, Attractive Packaging, Other","Tropical, Chocolate","Digestion, Energy, Skin/Hair health","Good Value, Other","BrandC, Brand_M",Unlikely,Maybe,
Under 18,Other,Other,Homemaker,"20,001-35,000",Ras Al Khaimah,Occasionally,Social Media,"Vegetarian, Vegan, Gluten-Free, Lactose-Free","Juices, Sports Drinks, Tea/Coffee",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Other","Lack of Time, Limited Options, None",Other,>25,Neutral,Yes,"Free Samples, Other","Tropical, Plain","Digestion, Energy","Not Tasty, Not Widely Available, Innovative","Brand_F, BrandD",Unlikely,Maybe,
Under 18,Male,Arab Expat,Business Owner,"20,001-35,000",Ajman,Daily,Magazines/TV,Gluten-Free,"Water, Soft Drinks, Juices, Tea/Coffee, Other",Extremely Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience, Other","Cost, Lack of Information, None",Convenience Stores,16-25,Likely,Yes,"Free Samples, Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Herbal, Plain, Other","Immunity, Weight Management, Skin/Hair health","Not Widely Available, Good Value, Innovative","BrandE, Brand_S",Likely,Maybe,
35-44,Female,Arab Expat,Homemaker,"5,000-10,000",Abu Dhabi,Rarely,Other,"Vegetarian, Vegan, Gluten-Free","Water, Soft Drinks, Juices, Tea/Coffee",Important,"Taste, Natural Ingredients, Affordable Price, Brand Reputation, Convenience","Lack of Information, None",Convenience Stores,<5,Unlikely,No,Discounts,"Berries, Citrus, Herbal, Plain",Energy,"Too Expensive, Innovative, Other","Brand_N, BrandD",Neutral,No,
Under 18,Prefer not to say,Other,Student,"<5,000",Ajman,Occasionally,Magazines/TV,"Gluten-Free, Diabetic","Water, Juices, Milk",Important,"Taste, Affordable Price, Convenience, Other","Lack of Time, Cost, Lack of Information, Limited Options",Other,5-10,Very Likely,Yes,"Discounts, Attractive Packaging","Berries, Citrus, Herbal, Chocolate","Digestion, Energy, Stress Relief","Too Expensive, Not Tasty, High Quality, Other","BrandC, Brand_P",Very Unlikely,Maybe,
55+,Male,Other,Business Owner,"20,001-35,000",Dubai,Frequently,Health Professionals,"Vegetarian, Vegan, Lactose-Free","Water, Soft Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Other","Cost, Lack of Information, Taste Preferences",Cafes/Restaurants,11-15,Likely,No,"Discounts, Health Benefits","Berries, Citrus, Tropical, Herbal, Other","Energy, Skin/Hair health, No Specific Issues","Not Tasty, Not Widely Available","BrandC, BrandE, BrandA",Very Likely,Yes,
Under 18,Other,Emirati,Working Professional,"20,001-35,000",Abu Dhabi,Rarely,Social Media,"Vegetarian, Gluten-Free, Diabetic",Soft Drinks,Somewhat Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Convenience","Lack of Time, Lack of Information, Limited Options",Cafes/Restaurants,11-15,Very Unlikely,No,"Free Samples, Health Benefits, Other",Other,"Digestion, Energy, Skin/Hair health, Stress Relief","Too Expensive, High Quality, Innovative","Brand_Q, BrandA",Unlikely,Yes,
Under 18,Other,Western Expat,Working Professional,"<5,000",Dubai,Rarely,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Tea/Coffee, Milk, Other",Extremely Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation","Lack of Time, Cost, Lack of Information, Taste Preferences, None",Supermarkets,5-10,Neutral,Maybe,"Free Samples, Discounts, Health Benefits, Other","Berries, Citrus, Tropical, Plain","Immunity, Digestion, Weight Management","Too Expensive, Not Tasty, Good Value, High Quality","BrandE, Brand_T",Neutral,Yes,
25-34,Female,Western Expat,Other,">50,000",Ajman,Daily,Friends/Family,"Vegetarian, Lactose-Free, Diabetic","Water, Juices, Sports Drinks, Milk",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Convenience","Cost, Lack of Information, Limited Options",Supermarkets,11-15,Very Likely,Maybe,"Free Samples, Recommendations, Attractive Packaging, Other","Berries, Tropical, Other","Immunity, Energy, No Specific Issues","Not Tasty, Good Value, Innovative","Brand_V, BrandD",Very Likely,Maybe,
55+,Female,Emirati,Homemaker,"35,001-50,000",Sharjah,Occasionally,Health Professionals,"Vegetarian, Diabetic","Soft Drinks, Juices, Tea/Coffee, Other",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Other",Cost,Online,16-25,Very Likely,No,"Free Samples, Recommendations","Citrus, Tropical, Herbal, Chocolate","Digestion, Energy, No Specific Issues","Too Expensive, Not Tasty, High Quality","BrandB, Brand_R",Unlikely,No,
Under 18,Female,Asian Expat,Other,"5,000-10,000",Other,Occasionally,Social Media,Diabetic,"Water, Soft Drinks, Milk",Somewhat Important,"Low Sugar, Natural Ingredients, Added Vitamins, Convenience","Lack of Time, Lack of Information, Limited Options, Taste Preferences",Other,>25,Neutral,Maybe,"Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Tropical, Herbal","Digestion, Weight Management","Too Expensive, Not Widely Available, High Quality","BrandC, Brand_W",Very Likely,Yes,
35-44,Other,Arab Expat,Homemaker,"10,001-20,000",Ras Al Khaimah,Frequently,Friends/Family,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Sports Drinks",Somewhat Important,"Low Sugar, Added Vitamins, Other","Lack of Time, Limited Options, None",Other,11-15,Very Likely,Maybe,"Discounts, Recommendations, Health Benefits","Berries, Tropical, Chocolate, Plain","Immunity, No Specific Issues","Not Tasty, Innovative, Other","BrandE, Brand_S",Very Unlikely,Maybe,
Under 18,Prefer not to say,Other,Homemaker,">50,000",Sharjah,Rarely,Magazines/TV,Vegetarian,"Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Other",Important,"Taste, Added Vitamins, Affordable Price, Brand Reputation, Other","Lack of Time, Cost, Taste Preferences, None",Gyms,11-15,Very Likely,Maybe,"Free Samples, Recommendations, Health Benefits","Berries, Herbal, Chocolate","Digestion, Stress Relief, No Specific Issues","Not Widely Available, High Quality","BrandE, Brand_T",Very Unlikely,Maybe,
Under 18,Female,Arab Expat,Retired,"20,001-35,000",Abu Dhabi,Daily,Friends/Family,Diabetic,"Water, Juices, Energy Drinks",Extremely Important,Natural Ingredients,"Limited Options, Taste Preferences",Gyms,>25,Very Unlikely,Maybe,Other,"Berries, Citrus, Tropical, Herbal, Chocolate","Energy, Weight Management, Stress Relief",Not Tasty,"BrandC, Brand_O, BrandA",Unlikely,No,
55+,Other,Arab Expat,Student,"35,001-50,000",Abu Dhabi,Frequently,Social Media,"Vegan, Gluten-Free, Diabetic","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee",Extremely Important,"Taste, Natural Ingredients, Brand Reputation","Cost, Limited Options",Gyms,16-25,Unlikely,Yes,"Free Samples, Recommendations, Attractive Packaging","Herbal, Chocolate, Plain","Energy, Weight Management, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available, Good Value, High Quality","BrandC, BrandE, Brand_L",Unlikely,Maybe,
Under 18,Male,Western Expat,Student,"10,001-20,000",Other,Frequently,Other,"Vegetarian, Gluten-Free, Diabetic","Water, Juices",Not Important,"Taste, Low Sugar, Natural Ingredients, Convenience, Other","Lack of Time, Limited Options, None",Supermarkets,16-25,Likely,Maybe,"Discounts, Recommendations","Berries, Citrus, Tropical, Herbal, Chocolate","Immunity, Energy, Skin/Hair health, Stress Relief, No Specific Issues","Not Tasty, High Quality, Other","Brand_K, BrandD",Very Unlikely,Maybe,
25-34,Other,Emirati,Working Professional,">50,000",Abu Dhabi,Daily,Friends/Family,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Not Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Convenience","Lack of Time, Lack of Information, Limited Options, None",Online,16-25,Neutral,No,"Free Samples, Discounts, Other","Citrus, Chocolate, Plain","Immunity, Digestion, Weight Management","Too Expensive, Not Tasty, Not Widely Available, Good Value, High Quality","BrandE, Brand_W, BrandD",Neutral,Yes,
25-34,Male,Asian Expat,Business Owner,">50,000",Ajman,Occasionally,Magazines/TV,"Lactose-Free, Diabetic","Soft Drinks, Juices, Milk",Not Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Other","Cost, Limited Options, None",Online,11-15,Likely,Maybe,"Discounts, Attractive Packaging, Health Benefits","Citrus, Chocolate","Immunity, Energy, Weight Management, Stress Relief","Not Widely Available, Other",BrandE,Very Likely,Yes,
Under 18,Male,Asian Expat,Working Professional,"<5,000",Abu Dhabi,Daily,Friends/Family,"Vegetarian, Gluten-Free, Diabetic","Water, Juices, Tea/Coffee, Other",Somewhat Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation",Limited Options,Cafes/Restaurants,11-15,Neutral,Maybe,"Free Samples, Recommendations, Health Benefits, Other","Berries, Plain, Other","Immunity, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, Good Value, Other","BrandA, BrandB, Brand_R",Unlikely,Yes,
55+,Prefer not to say,Emirati,Homemaker,"10,001-20,000",Sharjah,Occasionally,Health Professionals,"Vegan, Diabetic","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Other",Important,"Taste, Natural Ingredients, Brand Reputation","Limited Options, Taste Preferences, None",Convenience Stores,16-25,Neutral,Yes,"Free Samples, Discounts, Attractive Packaging, Health Benefits","Berries, Herbal, Plain, Other","Immunity, Digestion, Skin/Hair health, Stress Relief","Too Expensive, Not Widely Available, Good Value","BrandC, Brand_M",Unlikely,Yes,
18-24,Female,Arab Expat,Retired,"<5,000",Abu Dhabi,Never,Other,"Vegan, Lactose-Free","Water, Tea/Coffee, Milk, Other",Very Important,"Low Sugar, Affordable Price, Convenience","Lack of Time, Lack of Information",Online,11-15,Very Likely,Yes,"Free Samples, Discounts, Health Benefits, Other","Berries, Plain, Other","Energy, No Specific Issues","Good Value, High Quality, Other","BrandE, Brand_Y",Likely,Yes,
18-24,Male,Emirati,Business Owner,">50,000",Ras Al Khaimah,Rarely,Social Media,"Vegetarian, Diabetic","Water, Soft Drinks, Milk, Other",Extremely Important,"Taste, Added Vitamins","Lack of Time, Cost, Lack of Information, Taste Preferences",Gyms,<5,Very Unlikely,Yes,"Free Samples, Attractive Packaging, Health Benefits","Tropical, Other","Immunity, Digestion, Weight Management, No Specific Issues","Too Expensive, Not Tasty, Other","BrandC, Brand_G, BrandD",Very Likely,Maybe,
45-54,Female,Emirati,Other,">50,000",Abu Dhabi,Daily,Other,"Vegetarian, Vegan, Gluten-Free","Juices, Energy Drinks, Tea/Coffee, Milk",Not Important,"Taste, Low Sugar, Added Vitamins, Convenience, Other","Lack of Time, Cost, Lack of Information, Taste Preferences, None",Other,11-15,Neutral,Maybe,Other,"Berries, Tropical, Plain","Immunity, Weight Management, No Specific Issues","Not Tasty, Good Value, High Quality","BrandA, BrandB, BrandD",Very Unlikely,Maybe,
25-34,Other,Other,Homemaker,">50,000",Dubai,Frequently,Health Professionals,Vegan,"Soft Drinks, Juices",Extremely Important,"Low Sugar, Natural Ingredients, Affordable Price, Convenience","Cost, Limited Options",Convenience Stores,16-25,Likely,No,"Recommendations, Attractive Packaging, Other","Chocolate, Plain","Digestion, Weight Management, Stress Relief","Not Widely Available, Other","BrandE, Brand_I, BrandD",Unlikely,No,
18-24,Female,Other,Student,"35,001-50,000",Other,Occasionally,Other,"Vegetarian, Vegan, Diabetic","Water, Sports Drinks, Tea/Coffee, Other",Extremely Important,"Taste, Added Vitamins, Brand Reputation","Cost, Lack of Information",Cafes/Restaurants,5-10,Unlikely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging","Berries, Herbal, Other","Immunity, Energy, Weight Management, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, High Quality",BrandA,Unlikely,Yes,
45-54,Other,Arab Expat,Working Professional,">50,000",Sharjah,Rarely,Health Professionals,"Vegan, Lactose-Free, Diabetic","Juices, Sports Drinks",Extremely Important,"Taste, Low Sugar, Convenience, Other","Lack of Information, None",Supermarkets,16-25,Likely,Maybe,"Recommendations, Attractive Packaging, Health Benefits","Berries, Citrus, Tropical, Herbal, Chocolate, Plain, Other","Immunity, Digestion, Energy, Skin/Hair health, No Specific Issues","Good Value, Innovative","Brand_H, BrandD",Very Unlikely,Yes,
18-24,Male,Western Expat,Working Professional,"10,001-20,000",Ras Al Khaimah,Rarely,Friends/Family,"Vegetarian, Gluten-Free","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee",Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Convenience","Lack of Time, Cost, Lack of Information, Taste Preferences",Online,5-10,Very Unlikely,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging","Tropical, Chocolate, Plain","Energy, Weight Management, Stress Relief","Not Tasty, Good Value, High Quality","BrandA, Brand_R",Very Likely,Yes,
55+,Prefer not to say,Asian Expat,Other,"5,000-10,000",Sharjah,Daily,Social Media,"Gluten-Free, Diabetic","Water, Sports Drinks, Milk, Other",Extremely Important,"Low Sugar, Natural Ingredients, Affordable Price, Convenience","Lack of Time, Limited Options, None",Cafes/Restaurants,11-15,Unlikely,Maybe,"Free Samples, Discounts, Health Benefits, Other","Citrus, Other","Digestion, Weight Management, Skin/Hair health","Not Tasty, Good Value, High Quality","BrandB, Brand_I",Neutral,Yes,
Under 18,Male,Other,Working Professional,"35,001-50,000",Ajman,Frequently,Health Professionals,Gluten-Free,"Water, Soft Drinks, Juices, Sports Drinks",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Convenience, Other","Cost, Lack of Information, Limited Options",Other,11-15,Very Likely,Yes,"Free Samples, Other","Citrus, Tropical, Herbal, Chocolate, Other","Immunity, Digestion, Energy, Stress Relief, No Specific Issues","Too Expensive, Not Widely Available, Other","BrandC, Brand_Z",Very Unlikely,Yes,
25-34,Other,Arab Expat,Working Professional,"10,001-20,000",Other,Daily,Health Professionals,"Lactose-Free, Diabetic","Water, Soft Drinks, Sports Drinks, Milk",Very Important,"Taste, Natural Ingredients, Affordable Price, Brand Reputation, Convenience","Taste Preferences, None",Gyms,5-10,Likely,Maybe,"Free Samples, Recommendations, Health Benefits, Other","Berries, Herbal, Plain, Other","Digestion, Energy, Skin/Hair health","Not Tasty, High Quality, Innovative","BrandA, Brand_R",Neutral,Maybe,
18-24,Male,Emirati,Business Owner,"20,001-35,000",Ajman,Frequently,Friends/Family,"Vegan, Lactose-Free","Water, Soft Drinks, Juices, Tea/Coffee",Very Important,"Natural Ingredients, Added Vitamins, Brand Reputation",None,Supermarkets,16-25,Likely,Yes,"Free Samples, Discounts, Attractive Packaging","Berries, Citrus, Tropical, Herbal, Other","Immunity, Energy, Skin/Hair health, No Specific Issues","Not Tasty, High Quality, Other","BrandC, BrandE",Unlikely,Maybe,
55+,Prefer not to say,Other,Homemaker,"10,001-20,000",Abu Dhabi,Never,Health Professionals,"Vegan, Diabetic","Water, Soft Drinks, Juices, Energy Drinks, Milk",Somewhat Important,"Low Sugar, Natural Ingredients, Affordable Price, Convenience","Cost, Limited Options",Supermarkets,>25,Neutral,Maybe,"Discounts, Recommendations, Attractive Packaging, Health Benefits","Berries, Tropical","Immunity, Energy, Stress Relief","Not Widely Available, Innovative","BrandE, Brand_K",Neutral,Yes,
45-54,Female,Emirati,Business Owner,"10,001-20,000",Ajman,Daily,Social Media,"Vegetarian, Vegan, Gluten-Free",Soft Drinks,Extremely Important,"Taste, Natural Ingredients, Other","Lack of Time, Lack of Information, Limited Options, Taste Preferences, None",Online,>25,Neutral,No,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Chocolate","Immunity, Energy, Skin/Hair health, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, Innovative, Other","BrandA, Brand_X",Neutral,Maybe,
55+,Other,Emirati,Business Owner,"5,000-10,000",Abu Dhabi,Occasionally,Magazines/TV,Vegan,"Water, Soft Drinks, Sports Drinks, Tea/Coffee, Other",Not Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price","Lack of Time, None",Other,16-25,Unlikely,No,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Herbal, Chocolate, Plain","Digestion, Weight Management, Stress Relief","Too Expensive, Not Tasty, Not Widely Available, Good Value, Innovative","BrandA, BrandD",Very Unlikely,Yes,
45-54,Female,Other,Working Professional,"35,001-50,000",Dubai,Daily,Other,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Sports Drinks",Somewhat Important,"Low Sugar, Affordable Price, Brand Reputation","Cost, Lack of Information, Limited Options",Gyms,11-15,Very Likely,Maybe,"Recommendations, Attractive Packaging, Health Benefits","Berries, Chocolate, Other","Immunity, Skin/Hair health, Stress Relief","Not Widely Available, Other","BrandE, Brand_K",Unlikely,No,
18-24,Prefer not to say,Arab Expat,Homemaker,"20,001-35,000",Ajman,Daily,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Diabetic","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Somewhat Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Other","Cost, Lack of Information, Limited Options",Gyms,5-10,Neutral,Yes,Other,"Tropical, Chocolate, Other","Digestion, Stress Relief","Too Expensive, Not Tasty, Innovative","BrandA, Brand_Y",Very Likely,Yes,
Under 18,Male,Asian Expat,Working Professional,">50,000",Ras Al Khaimah,Never,Other,Lactose-Free,"Water, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Very Important,"Low Sugar, Convenience, Other","Cost, Taste Preferences",Gyms,5-10,Likely,Maybe,"Free Samples, Recommendations, Attractive Packaging, Health Benefits, Other",Tropical,"Immunity, Energy, Weight Management","Too Expensive, Good Value","BrandC, Brand_L, BrandD",Likely,No,
35-44,Prefer not to say,Arab Expat,Retired,"35,001-50,000",Other,Never,Other,"Vegetarian, Diabetic","Water, Energy Drinks, Other",Not Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Convenience","Lack of Information, Limited Options, Taste Preferences, None",Gyms,16-25,Unlikely,No,"Free Samples, Recommendations, Attractive Packaging, Other",Citrus,"Digestion, Energy, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Good Value, Other","BrandA, Brand_W",Neutral,No,
Under 18,Other,Western Expat,Retired,"35,001-50,000",Dubai,Daily,Magazines/TV,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Sports Drinks, Milk, Other",Extremely Important,"Natural Ingredients, Convenience","Lack of Information, Limited Options",Online,16-25,Neutral,Maybe,"Free Samples, Discounts, Attractive Packaging, Other","Herbal, Chocolate","Immunity, Energy","Too Expensive, Not Widely Available, Good Value, High Quality, Innovative","BrandE, BrandB, Brand_V",Unlikely,Yes,
55+,Other,Western Expat,Working Professional,"20,001-35,000",Sharjah,Frequently,Health Professionals,"Gluten-Free, Diabetic","Water, Soft Drinks, Sports Drinks, Tea/Coffee, Milk",Extremely Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Convenience","Cost, Lack of Information, None",Cafes/Restaurants,<5,Neutral,Yes,"Free Samples, Discounts, Health Benefits, Other","Citrus, Plain","Energy, Weight Management, Stress Relief","Not Widely Available, Good Value","BrandE, Brand_V",Likely,Yes,
35-44,Male,Asian Expat,Business Owner,"20,001-35,000",Ajman,Never,Social Media,"Vegan, Lactose-Free","Juices, Energy Drinks, Sports Drinks, Milk",Very Important,"Taste, Natural Ingredients, Affordable Price, Convenience, Other","Lack of Time, Cost, Taste Preferences, None",Cafes/Restaurants,5-10,Very Unlikely,Yes,"Discounts, Attractive Packaging",Plain,"Immunity, Digestion, Weight Management, No Specific Issues","Too Expensive, Not Tasty","BrandC, Brand_U",Very Likely,Yes,
25-34,Other,Western Expat,Retired,"5,000-10,000",Sharjah,Never,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Tea/Coffee, Milk",Important,"Taste, Affordable Price, Brand Reputation, Convenience","Lack of Time, Cost, Limited Options, None",Cafes/Restaurants,<5,Unlikely,Yes,Discounts,"Berries, Citrus, Other",Energy,"Too Expensive, Not Tasty, Good Value","BrandE, Brand_W, BrandD",Likely,Yes,
35-44,Prefer not to say,Emirati,Student,"<5,000",Dubai,Frequently,Other,"Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Very Important,"Taste, Affordable Price","Lack of Time, Lack of Information, Taste Preferences",Online,11-15,Unlikely,Yes,"Free Samples, Recommendations, Health Benefits, Other","Citrus, Tropical, Herbal, Plain","Digestion, Weight Management, Stress Relief","Too Expensive, Not Tasty, Good Value, Other","BrandA, Brand_R",Very Likely,Maybe,
Under 18,Other,Western Expat,Retired,"5,000-10,000",Sharjah,Rarely,Friends/Family,"Vegetarian, Lactose-Free","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Other",Not Important,"Taste, Low Sugar, Natural Ingredients, Convenience, Other","Lack of Time, Cost",Other,5-10,Very Likely,No,"Free Samples, Recommendations, Attractive Packaging","Berries, Citrus, Tropical, Plain","Immunity, Digestion, Weight Management","Not Tasty, Innovative","BrandC, BrandE",Likely,Maybe,
25-34,Female,Other,Student,">50,000",Ras Al Khaimah,Never,Magazines/TV,"Vegan, Gluten-Free, Lactose-Free","Juices, Energy Drinks, Tea/Coffee, Milk",Important,"Taste, Natural Ingredients","Lack of Time, Cost, Lack of Information, Limited Options",Convenience Stores,16-25,Neutral,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits, Other","Tropical, Herbal, Chocolate","Energy, Stress Relief","Too Expensive, Not Tasty, Good Value","BrandA, Brand_V",Very Likely,No,
18-24,Prefer not to say,Emirati,Business Owner,"20,001-35,000",Dubai,Never,Social Media,"Vegan, Diabetic","Water, Soft Drinks, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Not Important,"Low Sugar, Natural Ingredients, Added Vitamins","Lack of Time, Limited Options, Taste Preferences",Online,16-25,Unlikely,Yes,"Free Samples, Discounts, Recommendations, Health Benefits, Other","Berries, Citrus, Herbal, Plain","Immunity, Digestion, Energy, Skin/Hair health, No Specific Issues","Too Expensive, Other","BrandE, Brand_I, BrandD",Neutral,Yes,
18-24,Prefer not to say,Arab Expat,Business Owner,"10,001-20,000",Other,Frequently,Social Media,"Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Sports Drinks, Tea/Coffee, Other",Extremely Important,"Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Other","Lack of Time, Limited Options",Gyms,11-15,Very Likely,No,"Recommendations, Attractive Packaging, Health Benefits","Tropical, Chocolate, Plain","Immunity, Digestion, Weight Management, Skin/Hair health, No Specific Issues","Too Expensive, Good Value, Innovative","BrandE, Brand_L",Likely,Maybe,
55+,Other,Asian Expat,Working Professional,"10,001-20,000",Other,Frequently,Other,"Vegetarian, Gluten-Free","Water, Soft Drinks, Milk, Other",Important,"Added Vitamins, Brand Reputation","Lack of Information, Taste Preferences, None",Cafes/Restaurants,>25,Neutral,Yes,"Recommendations, Attractive Packaging, Health Benefits","Berries, Citrus, Herbal, Plain","Immunity, Energy, Stress Relief, No Specific Issues","Not Tasty, Innovative","BrandA, BrandD",Very Likely,Maybe,
35-44,Male,Other,Homemaker,"35,001-50,000",Other,Daily,Social Media,"Gluten-Free, Diabetic","Water, Juices, Tea/Coffee, Other",Not Important,"Natural Ingredients, Added Vitamins, Convenience",None,Cafes/Restaurants,<5,Likely,No,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Other","Energy, Skin/Hair health, No Specific Issues","Too Expensive, Not Widely Available, Good Value, High Quality","Brand_H, BrandD",Unlikely,Maybe,
25-34,Male,Other,Retired,"35,001-50,000",Other,Daily,Other,None,"Water, Soft Drinks, Milk, Other",Extremely Important,Taste,"Lack of Time, Lack of Information, Taste Preferences",Other,16-25,Very Unlikely,Yes,"Discounts, Health Benefits","Berries, Citrus, Tropical, Herbal, Plain","Immunity, Energy, Skin/Hair health","Too Expensive, Not Tasty, High Quality, Innovative","BrandB, BrandD",Very Unlikely,No,
